Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
44327454,The Business of Research: Knowledge and Learning Redefined in Architectural Practice (Architectural Design),Deborah Saunt,"Saunt, Deborah","Tom Greenall, Roberta  Marcaccio","=""1119546028""","=""9781119546023""",0,Wiley,Paperback,144,2019,,,2019/12/22,to-read,to-read (#335),to-read,,,,0,0
19046205,Logic,Wilfrid Hodges,"Hodges, Wilfrid",,"=""0141926848""","=""9780141926841""",0,Penguin,Kindle Edition,384,2001,1980,,2019/12/22,to-read,to-read (#334),to-read,,,,0,0
418702,History of Shit,Dominique Laporte,"Laporte, Dominique","Nadia Benabid, Rodolphe El-Khoury","=""0262621606""","=""9780262621601""",0,The MIT Press,Paperback,175,2002,1978,,2019/12/22,to-read,to-read (#333),to-read,,,,0,0
26895884,Ethnography for Designers,Galen Cranz,"Cranz, Galen",,"=""1138121088""","=""9781138121089""",0,Routledge,Hardcover,286,2016,2016,,2019/12/22,to-read,to-read (#332),to-read,,,,0,0
826,The Big U: A Hilarious Satire of American College Life,Neal Stephenson,"Stephenson, Neal",,"=""0380816032""","=""9780380816033""",4.0,William Morrow Paperbacks,Paperback,308,2001,1984,2019/03/01,2016/07/30,,,read,,,,1,0
26837308,The Dispossessed,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",5.0,Gateway,ebook,403,2015,1974,2018/11/01,2018/10/22,,,read,,,,1,0
105562,Coming of Age in Samoa: A Psychological Study of Primitive Youth for Western Civilisation,Margaret Mead,"Mead, Margaret",,"=""0688050336""","=""9780688050337""",5.0,Harper Perennial,Paperback,223,2001,1928,2019/12/15,2019/08/17,,,read,,,,1,0
20413313,Buckminster Fuller Poet of Geometry,Cole Gerst,"Gerst, Cole",,"=""0615873448""","=""9780615873442""",4.0,Overcup Press,Hardcover,143,2013,2013,2019/11/09,2014/06/13,,,read,,,,1,0
42800306,"High Weirdness: Drugs, Esoterica, and Visionary Experiences in the Seventies",Erik              Davis,"Davis, Erik",,"=""1907222766""","=""9781907222764""",0,Mit Pr,Hardcover,545,2019,,,2019/10/23,to-read,to-read (#331),to-read,,,,0,0
92610,Rocannon’s World,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0441732968""","=""9780441732968""",4.0,Ace,Mass Market Paperback,258,1966,1966,2019/10/03,2019/10/08,,,read,,,,1,0
42978219,Counterproductive: Time Management in the Knowledge Economy,Melissa Gregg,"Gregg, Melissa",,"=""1478002395""","=""9781478002390""",4.0,Duke University Press Books,Kindle Edition,202,2018,,2019/10/14,2019/09/09,,,read,,,,1,0
201889,City of Illusions,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",5.0,Ace Books,Mass Market Paperback,160,1967,1967,2019/10/12,2019/10/12,,,read,,,,1,0
24647366,MIT BUILDING 20: SHORT STORIES,Bradford Howland,"Howland, Bradford",,"=""1499017928""","=""9781499017922""",2.0,Xlibris US,Kindle Edition,104,2014,2014,2019/10/06,2019/10/08,,,read,,,,1,0
201882,Planet of Exile,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0441669514""","=""9780441669516""",5.0,Ace Books,Paperback,126,1971,1966,2019/10/07,2019/10/08,,,read,,,,1,0
816,Cryptonomicon,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",5.0,Avon,Mass Market Paperback,1152,2002,1999,2016/09/16,2013/04/19,,,read,,,,1,0
16069272,The Man Who Was Thursday: A Nightmare,G.K. Chesterton,"Chesterton, G.K.",,"=""""","=""""",0,,Kindle Edition,170,2012,1908,,2019/09/09,to-read,to-read (#330),to-read,,,,0,0
1080187,The Book of Tofu,William Shurtleff,"Shurtleff, William",,"=""0345351819""","=""9780345351814""",0,Ballantine Books,Mass Market Paperback,448,1987,1976,,2019/09/09,to-read,to-read (#329),to-read,,,,0,0
27248490,"The City of Tomorrow: Sensors, Networks, Hackers, and the Future of Urban Life (The Future Series)",Carlo Ratti,"Ratti, Carlo",Matthew Claudel,"=""0300204809""","=""9780300204803""",3.0,Yale University Press,Hardcover,192,2016,,2019/09/08,2019/08/19,,,read,,,,1,0
20334680,Science Fiction Prototyping: Designing the Future with Science Fiction,Brian David Johnson,"Johnson, Brian David",,"=""""","=""""",3.0,Morgan & Claypool Publishers,Kindle Edition,179,2011,2011,2018/12/19,2018/08/18,,,read,,,,1,0
19837638,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""""","=""""",4.0,Headline,ebook,308,2014,1993,2019/08/17,2019/01/13,,,read,,,,1,0
42254859,The Human Condition,Hannah Arendt,"Arendt, Hannah","Danielle Allen, Margaret Canovan","=""""","=""""",0,The University of Chicago Press,Kindle Edition,348,2019,1958,,2019/07/12,to-read,to-read (#328),to-read,,,,0,0
23817810,The Penelopiad (Faber Drama),Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",4.0,Faber & Faber,Kindle Edition,133,2014,2005,2019/08/02,2019/06/01,,,read,,,,1,0
20078750,"Parable of the Talents (Earthseed, #2)",Octavia E. Butler,"Butler, Octavia E.",,"=""147221479X""","=""""",5.0,Headline,Kindle Edition,446,2014,1998,2019/08/07,2019/08/03,,,read,,,,1,0
3217321,The Specialist,Charles Sale,"Sale, Charles",,"=""0285632264""","=""9780285632264""",4.0,Souvenir Press Ltd,Hardcover,32,1994,1929,2019/07/31,2019/07/30,,,read,,,,1,0
25194939,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5.0,Orbit,ebook,496,2015,2015,2019/03/17,2019/03/16,,,read,,,,1,0
41810925,Goomics: Google's corporate culture revealed through internal comics,Manu Cornet,"Cornet, Manu",,"=""0988523841""","=""9780988523845""",3.0,Manu Cornet,Paperback,142,2018,,2019/03/15,2019/03/15,,,read,,,,1,0
42479498,If This Goes On,Cat Rambo,"Rambo, Cat","E. Lily Yu, Aimee Ogden, Rachel Chimits, Cyd Athens, Scott Edelman, Jack Lothian, Gregory Jeffers, Conor Powers-Smith, Priya Sridhar, Andy Duncan, Lynette Mejía, Hal Y. Zhang, Nick Mamatas, Steven Barnes, Kitty-Lydia Dye, Tiffany E. Wilson, Nisi Shawl, Kathy Schilbach, Zandra Renwick, Chris Kluwe, Sarah Pinsker, Calie Voorhis, Marie Vibbert, James  Wood, Jamie Lackey, Paul  Crenshaw, Langley Hyde, Judy Helfrich, Beth Dawkins, Sylvia Spruck Wrigley","=""0999784218""","=""9780999784211""",3.0,Parvus Press LLC,Paperback,296,2019,2019,2019/02/05,2019/02/05,,,read,,,,1,0
43379885,Humanimal 3.0,Barnaby Bennett,"Bennett, Barnaby",,"=""0473287927""","=""9780473287924""",3.0, Freerange Press,Paperback,88,2015,,2018/12/29,2018/12/28,,,read,,,,1,0
21282876,Architecture Words 4: Having Words,Denise Scott Brown,"Brown, Denise Scott",,"=""1907896368""","=""9781907896361""",4.0,Architectural Association,Kindle Edition,155,2013,2009,2019/07/30,2019/06/30,,,read,,,,1,0
