book_id,title,author_1_name,isbn,isbn13,rating,publisher,format,num_pages,publication_year,started_at,read_at,date_added,bookshelves,read_count,ficOrNonFic,SeriesOrStandalone,LGBTQIA_Characters
11213969,"Consider Phlebas (Culture, #1)",Iain M. Banks,0316171174,9780316171175,5.0,,Kindle Edition,545.0,1987.0,,2017-05-06,2017-04-25,,1,Fiction,Series,Yes
26802163,The Natural Way of Things,Charlotte Wood,1925268314,9781925268317,4.0,Allen & Unwin,Kindle Edition,320.0,2015.0,2017-04-25,2017-04-26,2017-04-25,,1,Fiction,Standalone,No
2298230,Japanese Graphics Now!,Julius Wiedermann,3822825891,9783822825891,0.0,Taschen,Paperback,608.0,2003.0,,,2014-06-13,,1,NonFiction,Standalone,No
32144990,Norse Mythology,Neil Gaiman,1408887029,9781408887028,5.0,Bloomsbury Publishing,Kindle Edition,256.0,2017.0,2017-03-14,2017-03-21,2017-03-20,,1,Fiction,Standalone,No
31380409,"Prelude to Foundation (Foundation, #6)",Isaac Asimov,0008117489,9780008117481,5.0,Harper Voyager UK,Paperback,402.0,1988.0,,2017-02-25,2017-02-24,,1,Fiction,Series,No
32951956,Raised on Ritalin,Tyler Page,0972080163,9780972080163,5.0,dementian comics,Paperback,399.0,,2017-01-14,2017-02-17,2017-01-14,,1,NonFiction,Standalone,No
23197269,Aurora,Kim Stanley Robinson,0316098108,9780316098106,4.0,Orbit,Hardcover,466.0,2015.0,2017-01-09,2017-01-12,2017-01-09,,1,Fiction,Standalone,No
558067,Introducing Fractal Geometry,Nigel Lesmoir-Gordon,1840467134,9781840467130,4.0,"Icon,Totem Books",Paperback,176.0,1996.0,,,2014-06-13,,1,NonFiction,Standalone,No
2333,Farmer Giles of Ham,J.R.R. Tolkien,0618009361,9780618009367,5.0,William Morrow,Hardcover,127.0,1949.0,2017-01-07,2017-01-09,2014-09-09,,1,Fiction,Series,No
20336279,"Siege Perilous (Foreworld, #5)",E.D. deBirmingham,1477867597,9781477867594,0.0,47North,Kindle Edition,410.0,2014.0,,2016-06-01,2016-05-10,,1,Fiction,Series,No
